"";"initialIndex";"finalIndex";"cv";"shapiro";"ad";"normality";"bestDistFit";"runs";"IQR"
"43";"4247";"4802";"0,654537941544042";"2,930376543848e-21";"3,7e-24";"FALSE";"lnorm";"8,18480527392387e-98";"33,355194568634"
"44";"4249";"4803";"0,654438636509043";"3,5210762105476e-21";"3,7e-24";"FALSE";"lnorm";"1,17221327761055e-97";"33,5155611038209"
"45";"4251";"4804";"0,653297646402755";"4,90037703553955e-21";"3,7e-24";"FALSE";"lnorm";"1,68390239323189e-97";"33,5520787239075"
"46";"4253";"4805";"0,652325517059645";"6,63858174809731e-21";"3,7e-24";"FALSE";"lnorm";"2,66410555376e-97";"33,5885963439942"
"47";"4255";"4806";"0,650979606046995";"9,39279416581008e-21";"3,7e-24";"FALSE";"lnorm";"3,84115625643374e-97";"33,6187605857849"
"48";"4257";"4807";"0,649810627479497";"1,29883051179072e-20";"3,7e-24";"FALSE";"lnorm";"5,5549156350835e-97";"33,6325063705444"
"49";"4259";"4808";"0,649262246281128";"1,61140740240749e-20";"3,7e-24";"FALSE";"lnorm";"5,71906530658019e-96";"33,646252155304"
"50";"4261";"4809";"0,647851284620347";"2,18672925724936e-20";"3,7e-24";"FALSE";"lnorm";"5,30649213511159e-95";"33,6066207885743"
"51";"1749";"2346";"0,355116770592662";"1,70800657356631e-06";"0,00246431231612408";"FALSE";"weibull";"1,75332307914149e-23";"17,9948019981384"
"52";"1751";"2347";"0,35545208202985";"1,5577285754779e-06";"0,00254316939808103";"FALSE";"weibull";"2,45516607962986e-23";"17,9594993591308"
"53";"1753";"2348";"0,355444737897743";"1,18921767715906e-06";"0,00218526880040571";"FALSE";"weibull";"3,42201625358142e-23";"17,97030210495"
"54";"1755";"2349";"0,355584981254408";"1,02163919780554e-06";"0,0021750757150776";"FALSE";"weibull";"4,77081046609262e-23";"17,9262475967408"
"55";"1757";"2350";"0,356099506325941";"1,00266237352774e-06";"0,0020410628511529";"FALSE";"weibull";"1,5018184482816e-22";"17,884705066681"
"56";"1759";"2351";"0,356221750814651";"9,44755122928758e-07";"0,00202026215841744";"FALSE";"weibull";"2,04327433689686e-22";"17,7878818511963"
"57";"1761";"2352";"0,356385576183488";"8,73356446564547e-07";"0,00191439692171543";"FALSE";"weibull";"2,83567563910452e-22";"17,6389374732971"
"58";"1763";"2353";"0,35669932749873";"8,5005490126608e-07";"0,00185375662813267";"FALSE";"weibull";"3,93629443820885e-22";"17,6661520004272"
"59";"1765";"2354";"0,356712194308323";"7,29740155520846e-07";"0,00172461801457887";"FALSE";"weibull";"5,46536770597599e-22";"17,4542698860169"
"60";"1767";"2355";"0,357005538722993";"6,76808337743513e-07";"0,00163093491544561";"FALSE";"weibull";"7,59017151969344e-22";"17,4213981628418"
"61";"1769";"2356";"0,357267487962025";"6,17905698690956e-07";"0,00149469100745607";"FALSE";"weibull";"1,02698310306798e-21";"17,3704252243042"
"62";"1771";"2357";"0,357551534340021";"5,5432915929183e-07";"0,00133640099427219";"FALSE";"weibull";"1,42218482486825e-21";"17,3753490447999"
