;initialIndex;finalIndex;cv;shapiro;ad;normality;bestDistFit;runs;IQR;;;
478;4930;5501;0,405932519;3,97E-07;3,15E-06;FALSE;weibull;3,21E-74;37,45870113;;;
477;4928;5500;0,405449494;4,12E-07;3,47E-06;FALSE;weibull;1,95E-74;37,39868927;;;
440;8013;8572;0,633756997;9,56E-12;8,59E-16;FALSE;norm;7,42E-78;37,35173225;;;
476;4926;5499;0,406061461;4,88E-07;5,25E-06;FALSE;weibull;2,65E-73;37,30372143;;;
439;8011;8571;0,631725182;1,23E-11;1,49E-15;FALSE;norm;4,68E-78;37,26131725;;;
475;4924;5498;0,40525519;4,95E-07;5,62E-06;FALSE;weibull;1,62E-73;37,20875359;;;
473;4920;5496;0,403509479;3,95E-07;4,07E-06;FALSE;weibull;6,02E-74;37,19289398;;;
438;8009;8570;0,629070792;1,36E-11;1,64E-15;FALSE;norm;7,02E-77;37,18964338;;;
437;8007;8569;0,626939654;1,75E-11;2,81E-15;FALSE;norm;4,64E-77;37,14776325;;;
474;4922;5497;0,404241688;4,68E-07;5,44E-06;FALSE;weibull;9,86E-74;37,11378574;;;
468;4910;5491;0,400019335;1,42E-07;8,72E-07;FALSE;weibull;5,16E-75;37,05775166;;;
467;4908;5490;0,399806684;9,03E-08;4,03E-07;FALSE;weibull;3,16E-75;37,02575111;;;
469;4912;5492;0,400146086;2,03E-07;1,66E-06;FALSE;weibull;8,42E-75;37,00797653;;;
472;4918;5495;0,402306883;3,80E-07;4,29E-06;FALSE;weibull;3,68E-74;36,99229622;;;
466;4906;5489;0,399646396;5,19E-08;1,71E-07;FALSE;weibull;1,94E-75;36,98680305;;;
470;4914;5493;0,400303801;2,88E-07;3,09E-06;FALSE;weibull;6,19E-76;36,93925285;;;
465;4904;5488;0,398629109;3,74E-08;1,19E-07;FALSE;weibull;1,19E-75;36,86944962;;;
463;4900;5486;0,397052426;1,46E-08;3,41E-08;FALSE;weibull;4,49E-76;36,86141014;;;
462;4898;5485;0,396025658;1,02E-08;2,27E-08;FALSE;weibull;2,76E-76;36,8573904;;;
436;8005;8568;0,625091667;2,39E-11;7,29E-15;FALSE;norm;2,95E-73;36,85133481;;;
464;4902;5487;0,397522313;2,49E-08;7,60E-08;FALSE;weibull;7,31E-76;36,8140173;;;
77;5226;5798;0,726070163;6,75E-25;3,70E-24;FALSE;lnorm;4,24E-107;36,79202557;;;
460;4894;5483;0,39499307;6,38E-09;1,37E-08;FALSE;weibull;1,05E-76;36,76206303;;;
434;8001;8566;0,620017994;3,72E-11;2,72E-14;FALSE;norm;5,05E-71;36,71363902;;;
461;4896;5484;0,39462976;9,12E-09;2,46E-08;FALSE;weibull;1,70E-76;36,67929459;;;
435;8003;8567;0,622658715;3,06E-11;1,62E-14;FALSE;norm;1,75E-71;36,65817451;;;
471;4916;5494;0,401019503;3,65E-07;4,61E-06;FALSE;weibull;1,01E-75;36,57728767;;;
459;4892;5482;0,39377787;5,50E-09;1,34E-08;FALSE;weibull;6,44E-77;36,53609467;;;
433;7999;8565;0,617262538;4,42E-11;3,97E-14;FALSE;norm;3,37E-71;36,517591;;;
78;5228;5799;0,717990512;8,18E-25;3,70E-24;FALSE;lnorm;7,52E-107;36,39352655;;;
432;7997;8564;0,614597659;5,46E-11;7,10E-14;FALSE;norm;9,73E-71;36,33827567;;;
431;7995;8563;0,612275529;6,98E-11;1,53E-13;FALSE;norm;2,79E-70;35,99696159;;;
458;4890;5481;0,392335332;5,05E-09;1,59E-08;FALSE;weibull;3,97E-77;35,92938709;;;
79;5230;5800;0,715626485;7,83E-25;3,70E-24;FALSE;lnorm;1,06E-106;35,68843031;;;
429;7991;8561;0,605870842;7,76E-11;2,07E-13;FALSE;norm;1,21E-70;35,68257141;;;
430;7993;8562;0,608958081;7,11E-11;1,83E-13;FALSE;norm;1,79E-70;35,63299561;;;
457;4888;5480;0,390925845;4,98E-09;2,04E-08;FALSE;weibull;2,45E-77;35,54447174;;;
428;7989;8560;0,603188446;8,66E-11;2,32E-13;FALSE;norm;8,24E-71;35,45968866;;;
456;4886;5479;0,389508423;5,76E-09;3,18E-08;FALSE;weibull;2,99E-80;35,45214367;;;
455;4884;5478;0,388981396;5,42E-09;2,81E-08;FALSE;weibull;1,84E-80;35,41576195;;;
454;4882;5477;0,388315991;5,55E-09;3,04E-08;FALSE;weibull;1,14E-80;35,37938023;;;
427;7987;8559;0,600711552;9,41E-11;2,44E-13;FALSE;norm;5,00E-71;35,36332703;;;
426;7985;8558;0,598318358;1,17E-10;4,31E-13;FALSE;norm;6,42E-70;35,28676653;;;
425;7983;8557;0,598028035;1,66E-10;1,27E-12;FALSE;norm;4,13E-70;35,2790823;;;
423;7979;8555;0,594098089;2,69E-10;3,06E-12;FALSE;norm;2,97E-69;34,98806;;;
453;4880;5476;0,3875836;5,70E-09;3,35E-08;FALSE;weibull;7,03E-81;34,94282532;;;
424;7981;8556;0,596108063;2,35E-10;2,60E-12;FALSE;norm;2,67E-70;34,89929914;;;
452;4878;5475;0,387201898;5,54E-09;3,10E-08;FALSE;weibull;9,91E-80;34,86502647;;;
451;4876;5474;0,387029978;4,92E-09;2,33E-08;FALSE;weibull;6,13E-80;34,78722763;;;
422;7977;8554;0,59278648;3,55E-10;5,43E-12;FALSE;norm;1,92E-69;34,6902647;;;
421;7975;8553;0,589825745;3,88E-10;6,91E-12;FALSE;norm;5,42E-69;34,49044132;;;
420;7973;8552;0,586906966;4,45E-10;8,43E-12;FALSE;norm;2,84E-67;34,27404022;;;
80;5232;5801;0,706289002;8,18E-25;3,70E-24;FALSE;lnorm;1,89E-106;34,18702412;;;
418;7969;8550;0,581432181;5,66E-10;1,11E-11;FALSE;norm;1,20E-67;34,11304235;;;
419;7971;8551;0,584153033;4,86E-10;8,14E-12;FALSE;norm;1,97E-67;34,07490921;;;
417;7967;8549;0,578493966;6,36E-10;1,37E-11;FALSE;norm;8,32E-68;33,83294773;;;
416;7965;8548;0,576028512;7,83E-10;1,91E-11;FALSE;norm;5,83E-68;33,71708155;;;
412;7957;8544;0,566473821;1,67E-09;5,37E-11;FALSE;norm;2,45E-71;33,67597103;;;
415;7963;8547;0,573684328;9,24E-10;2,31E-11;FALSE;norm;4,11E-68;33,65285683;;;
413;7959;8545;0,568612554;1,24E-09;3,11E-11;FALSE;norm;4,06E-71;33,63650608;;;
414;7961;8546;0,571478233;1,16E-09;3,33E-11;FALSE;norm;6,26E-71;33,53544998;;;
411;7955;8543;0,564335328;2,24E-09;9,34E-11;FALSE;norm;1,29E-71;33,44615555;;;
81;5234;5802;0,702676528;7,62E-25;3,70E-24;FALSE;lnorm;2,99E-106;33,39695835;;;
82;5236;5803;0,703629547;6,42E-25;3,70E-24;FALSE;lnorm;5,96E-106;33,20304489;;;
410;7953;8542;0,561986034;2,78E-09;1,48E-10;FALSE;norm;3,69E-71;33,16932964;;;
409;7951;8541;0,559352314;3,24E-09;1,85E-10;FALSE;norm;9,82E-71;33,06400394;;;
408;7949;8540;0,55763211;4,46E-09;3,40E-10;FALSE;norm;5,59E-71;32,90511703;;;
407;7947;8539;0,555644256;5,23E-09;4,87E-10;FALSE;norm;1,58E-70;32,80382919;;;
83;5238;5804;0,705242842;5,09E-25;3,70E-24;FALSE;lnorm;1,19E-105;32,54672527;;;
405;7943;8537;0,555377869;2,73E-09;1,12E-09;FALSE;norm;4,45E-69;32,32542706;;;
404;7941;8536;0,554526374;4,54E-09;2,84E-09;FALSE;norm;8,17E-67;32,31176662;;;
406;7945;8538;0,553225802;5,53E-09;4,43E-10;FALSE;norm;4,76E-70;32,29822493;;;
403;7939;8535;0,552185629;5,42E-09;3,51E-09;FALSE;norm;2,57E-68;32,24770355;;;
402;7937;8534;0,550524838;6,80E-09;5,30E-09;FALSE;norm;1,74E-68;31,87645149;;;
84;5240;5805;0,706510769;4,14E-25;3,70E-24;FALSE;lnorm;2,41E-105;31,68732142;;;
401;7935;8533;0,548823352;8,79E-09;1,11E-08;FALSE;norm;4,51E-68;31,63216305;;;
85;5242;5806;0,708252537;3,33E-25;3,70E-24;FALSE;lnorm;4,88E-105;30,22171021;;;
180;6701;7270;0,661051303;3,97E-17;3,70E-24;FALSE;gamma;5,62E-89;30,07069254;;;
181;6703;7271;0,66171904;3,41E-17;3,70E-24;FALSE;gamma;9,71E-89;30,06856155;;;
128;6701;7272;0,661901004;3,00E-17;3,70E-24;FALSE;lnorm;2,30E-89;30,06652403;;;
