"","initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","IQR"
"1","3939","4188","0.301450724201878","2.74053593565329e-06","0.00132114745310101","FALSE","weibull","6.96634732425071e-29","13.0744676589966"
"2","3941","4189","0.301079940797545","2.53848007011196e-06","0.00132595087465557","FALSE","weibull","1.09766374112924e-28","13.0512294769287"
"3","3943","4190","0.300533266593076","2.53618601209266e-06","0.00195109577264072","FALSE","weibull","1.72593660667881e-28","12.8824343681335"
"4","3945","4191","0.30031621104638","2.83979561842619e-06","0.00322636710223621","FALSE","weibull","6.57348975421689e-29","12.8985147476196"
"5","3947","4192","0.300696853988521","3.11069942080404e-06","0.00471014903369209","FALSE","weibull","1.04230820253496e-28","12.898425579071"
"6","3949","4193","0.301452436300594","2.88605152632182e-06","0.00344948826242606","FALSE","weibull","3.93056949585757e-29","13.0057563781738"
"7","3951","4194","0.298083730131737","1.44509267179879e-06","0.00168190003515455","FALSE","weibull","1.46684284919095e-29","13.0555057525634"
"8","3953","4195","0.29745464995372","1.291236654394e-06","0.00169297724925654","FALSE","weibull","5.4161183370865e-30","13.0489521026611"
"9","3955","4196","0.297628591938653","1.27866269742278e-06","0.00148092817944567","FALSE","weibull","4.38657272427884e-31","13.1146726608276"
"10","3957","4197","0.297970195214897","1.35046268404338e-06","0.0017230916080137","FALSE","weibull","7.05549324116107e-31","13.1803932189941"
"11","3959","4198","0.298435638643669","1.5159748042347e-06","0.00281720915983688","FALSE","weibull","1.12200330240245e-30","13.0288596153259"
"12","3961","4199","0.299098787110549","1.60527183474013e-06","0.00392548226034525","FALSE","weibull","3.48297955136248e-29","12.9610738754272"
"13","3963","4200","0.299422096989553","1.6940310793782e-06","0.00559576735580212","FALSE","weibull","5.56560087516704e-29","12.8695712089538"
"14","3965","4201","0.298065401920177","1.40952584279196e-06","0.00672810313061149","FALSE","gamma","8.90632424024458e-29","12.5899410247802"
"15","3967","4202","0.298863899296782","1.30123870736227e-06","0.00710500894646766","FALSE","gamma","2.55175690708497e-27","12.6001081466675"
"16","5065","5314","0.208843992383435","0.0016964803719526","0.0507735597003603","FALSE","norm","7.19941808504177e-19","23.6975803375244"
"17","5067","5315","0.210016764624295","0.00157465807020228","0.0418222390962326","FALSE","norm","3.47233335046887e-19","24.1611099243164"
"18","5069","5316","0.210422052115057","0.00192269268563849","0.0560812253332755","FALSE","norm","5.21420643316611e-19","23.8586864471436"
"19","5071","5317","0.210553818548993","0.00223156868360744","0.0696989804676662","FALSE","norm","7.83963341310206e-19","23.9647636413575"
"20","5073","5318","0.210703866434258","0.00255429646258948","0.0841033132248014","FALSE","norm","1.1233364647375e-17","24.0708408355713"
"21","5075","5319","0.209603789514733","0.00246350949491049","0.0824212472425686","FALSE","norm","5.50225235145806e-18","23.7544784545899"
"22","5077","5320","0.210311102141107","0.00249923221387705","0.0778130977396346","FALSE","norm","2.685078701633e-18","23.7746086120606"
"23","5079","5321","0.211684150019938","0.0029236162759738","0.0839256864907149","FALSE","norm","4.02485348049077e-18","24.0059585571289"
"24","5081","5322","0.210700603380191","0.00137587939257925","0.045807185757448","FALSE","norm","1.95005207910436e-18","24.1247291564942"
"25","5083","5323","0.210372764078294","0.00106369709425837","0.0361116597348623","FALSE","norm","2.9257062526989e-19","24.2307357788086"
"26","5085","5324","0.210970961302132","0.000805739411544708","0.021894097249849","FALSE","norm","4.56071386189123e-19","23.6872634887696"
"27","5087","5325","0.211233239334765","0.000589949747330894","0.0153338153358032","FALSE","norm","7.24050778162384e-19","23.1670532226562"
"28","5089","5326","0.210768001295107","0.00044120767562662","0.0133411142659062","FALSE","norm","1.04640040195475e-18","22.7496185302734"
"29","5091","5327","0.210258219586734","0.000195824771974823","0.00641988204808437","FALSE","norm","5.24481115509072e-18","22.8709335327148"
"30","5093","5328","0.211045785940187","0.000284300557447029","0.0106376841185545","FALSE","norm","2.4655366224467e-18","22.901065826416"
"31","6357","6606","0.278545584834759","0.111727081079778","0.121859867547414","TRUE","NaN","1.03403782540213e-07","16.7514667510986"
"32","6359","6607","0.275355006350025","0.1214377307018","0.11708963928577","TRUE","NaN","7.89730336658031e-09","16.7016372680664"
"33","6361","6608","0.276356737362405","0.104831971682507","0.0994357790390367","TRUE","NaN","5.10990836094209e-09","16.7579755783081"
"34","6363","6609","0.272685346542914","0.0821998267765064","0.0822206555326976","TRUE","NaN","1.56294872144275e-08","16.6901397705078"
"35","6365","6610","0.274001294364287","0.0622609410955395","0.0563798218938376","TRUE","NaN","1.02692663814067e-08","16.757939338684"
"36","6367","6611","0.272014065802849","0.0758465028000145","0.0628695764978494","TRUE","NaN","1.26148828467018e-07","16.7898254394531"
"37","6369","6612","0.26861840325089","0.0484693321163618","0.0311150716998807","FALSE","gamma","3.44412821154361e-07","16.7590808868408"
"38","6371","6613","0.265023980292099","0.0127939086771272","0.0197455153780639","FALSE","gamma","3.14146604225431e-06","16.7728614807129"
"39","6373","6614","0.264005272216028","0.0121957185689336","0.0163357990510777","FALSE","gamma","7.39914489974181e-06","16.7399854660035"
"40","6375","6615","0.262531914590327","0.0209381333073486","0.0279120484026457","FALSE","gamma","5.11046761205867e-06","16.1657638549804"
"41","6377","6616","0.262306331254536","0.0278957103265025","0.0422242930622004","FALSE","gamma","1.19074496949923e-05","16.3224802017211"
"42","6379","6617","0.258722203271733","0.0283076882751975","0.0388218332261172","FALSE","gamma","4.6673344644303e-06","15.9765567779541"
"43","6381","6618","0.259732775591074","0.00783355441379917","0.0183165025480033","FALSE","gamma","1.13864204338113e-05","15.8700618743896"
"44","6383","6619","0.256513943350294","0.0061459077795653","0.0127080585582055","FALSE","gamma","1.44101265260778e-05","15.5570640563965"
"45","6385","6620","0.254654273313082","0.0105063096173219","0.0226055012649294","FALSE","gamma","1.76539188248086e-05","15.3771905899048"
"46","3602","3851","0.685568673191162","4.90624420975828e-12","4.08127265408715e-15","FALSE","norm","1.28240271421476e-26","18.1250581741332"
"47","3604","3852","0.683059857411284","6.4010502092074e-12","3.93108663806672e-15","FALSE","norm","1.55250406521887e-26","18.4374895095825"
"48","3606","3853","0.675389154138363","4.45773689498007e-12","9.88106723601493e-16","FALSE","norm","2.72163534182647e-26","19.2205283641815"
"49","3608","3854","0.670321467116692","4.94755550247532e-12","7.47972098544231e-16","FALSE","norm","4.78610194527242e-26","19.4829530715942"
"50","3610","3855","0.675061048322132","5.20867731560815e-12","3.78696663081642e-16","FALSE","norm","5.79039188855641e-26","19.7528474330902"
"51","3612","3856","0.672198416394693","8.89324220025619e-12","1.75574968467431e-15","FALSE","norm","8.45397919214806e-26","19.835488319397"
"52","3614","3857","0.66962274624591","1.54809715098468e-11","7.47451726874727e-15","FALSE","norm","7.17917668390796e-27","19.8827075958252"
"53","3616","3858","0.669598674327382","2.33945769116865e-11","2.47588388807491e-14","FALSE","norm","2.49170563583683e-27","20.3136587142945"
"54","3618","3859","0.66945057046143","3.54615700690202e-11","7.30094701380716e-14","FALSE","norm","2.19557780933801e-26","21.1106262207031"
"55","3620","3860","0.667087275910745","6.08503329149052e-11","3.01346910617274e-13","FALSE","norm","1.60876052041952e-25","21.4074640274048"
"56","3622","3861","0.668715768904666","7.37522264374493e-11","2.88301069491085e-13","FALSE","norm","5.64143790753751e-26","21.6195297241211"
"57","3624","3862","0.667927410635099","1.24677447648429e-10","1.19276754657274e-12","FALSE","norm","4.5654242924317e-27","21.9050779342651"
"58","3626","3863","0.664033898241808","1.93715048571139e-10","3.89695542370067e-12","FALSE","norm","5.70097284902631e-27","22.2333390712738"
"59","3628","3864","0.659946951061665","2.34876583742545e-10","4.9956758431759e-12","FALSE","norm","1.18118762699613e-26","22.1733779907226"
"60","3630","3865","0.653950042558285","2.81148200940076e-10","6.61797201761061e-12","FALSE","norm","5.2169816269247e-29","22.624073266983"
"61","6273","6522","0.299239343014993","9.50207178980589e-06","2.67507325021459e-06","FALSE","lnorm","0.000388591569144359","14.2575407028198"
