"";"initialIndex";"finalIndex";"shapiro";"ad";"normality";"trend";"outliers";"snht";"grubbs";"pettitt";"lanzante";"buishandU";"buishandRange"
"45";"8560";"9144";"5,29372242523706e-21";"3,7e-24";"FALSE";"increase";"TRUE";"0,786333333333333";"0";"1,78535265954626";"0,554388668664842";"NaN";"NaN"
"46";"8562";"9145";"6,38009733655709e-21";"3,7e-24";"FALSE";"increase";"TRUE";"0,103666666666667";"0";"1,70302943345692";"0,483377556641352";"NaN";"NaN"
"47";"8564";"9146";"8,60886565979148e-21";"3,7e-24";"FALSE";"increase";"TRUE";"0,893";"0";"1,79450526870904";"0,566349308440506";"NaN";"NaN"
"48";"8566";"9147";"1,22923453821329e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,564333333333333";"6,45039577307216e-14";"1,79946482508782";"0,0773482582911278";"NaN";"NaN"
"49";"8568";"9148";"1,69667339386515e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,118";"1,28785870856518e-13";"1,78537020372233";"0,560212456642163";"NaN";"NaN"
"50";"8570";"9149";"2,15018857739411e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,969666666666667";"1,28563826251593e-13";"1,82666703701801";"0,135291410068425";"NaN";"NaN"
"51";"8572";"9150";"2,78736129405281e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,997";"1,28341781646668e-13";"1,72844131107311";"0,0686229341919265";"NaN";"NaN"
"52";"8574";"9151";"2,96712969929494e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,995333333333333";"1,28119737041743e-13";"1,66821089065728";"0,0504084821612521";"NaN";"NaN"
"53";"8576";"9152";"4,02224571358337e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,993";"1,27897692436818e-13";"1,78497657731573";"0,134491211965839";"NaN";"NaN"
"54";"8578";"9153";"5,06361870446661e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,996333333333333";"1,27675647831893e-13";"1,67160413874003";"0,0687586948808148";"NaN";"NaN"
"55";"8580";"9154";"4,65243403767847e-20";"3,7e-24";"FALSE";"increase";"TRUE";"1";"1,27453603226968e-13";"1,75189651522801";"0,129204994567255";"NaN";"NaN"
"56";"8582";"9155";"5,13062728478233e-20";"3,7e-24";"FALSE";"increase";"TRUE";"1";"1,27231558622043e-13";"1,6815469078072";"0,0915125544901279";"NaN";"NaN"
"57";"8584";"9156";"6,51436748153608e-20";"3,7e-24";"FALSE";"increase";"TRUE";"1";"1,90514271025677e-13";"1,78930985284065";"0,188241203491007";"NaN";"NaN"
"58";"8586";"9157";"7,77344536203035e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,999666666666667";"1,90181204118289e-13";"1,70479363611281";"0,124450942838079";"NaN";"NaN"
"59";"8588";"9158";"8,26114146902213e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,999333333333333";"1,89848137210902e-13";"1,70996017989601";"0,137504895181752";"NaN";"NaN"
"60";"8590";"9159";"8,51947531781381e-20";"3,7e-24";"FALSE";"increase";"TRUE";"0,997666666666667";"2,52686760404686e-13";"1,69349039097507";"0,134844765237274";"NaN";"NaN"
"61";"5788";"6386";"2,37725810428406e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,996333333333333";"0";"1,61820448114117";"0,458765529689268";"NaN";"NaN"
"62";"5790";"6387";"2,55075537657672e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,998";"0";"1,55708424711197";"0,41887804497491";"NaN";"NaN"
"63";"5792";"6388";"3,42827762479473e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,812333333333333";"0";"1,63566687882607";"0,467099830034218";"NaN";"NaN"
"64";"5794";"6389";"3,82121185655439e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,998333333333333";"0";"1,58236618928555";"0,430785648299075";"NaN";"NaN"
"65";"5796";"6390";"4,33250024176999e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,999333333333333";"0";"1,58308370857291";"0,429431175479357";"NaN";"NaN"
"66";"5798";"6391";"5,77033961749888e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,849";"0";"1,59722408762867";"0,43651611812402";"NaN";"NaN"
"67";"5800";"6392";"6,57263741067318e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,997666666666667";"0";"1,64044746726445";"0,463306652637433";"NaN";"NaN"
"68";"5802";"6393";"7,37272717591676e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,998666666666667";"0";"1,66682147836909";"0,480051184010475";"NaN";"NaN"
"69";"5804";"6394";"9,07124906857713e-33";"3,7e-24";"FALSE";"increase";"TRUE";"0,996";"0";"1,67784976373447";"0,486243216578434";"NaN";"NaN"
"70";"5806";"6395";"1,11092971994793e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,998";"0";"1,67441632797975";"0,481790303682352";"NaN";"NaN"
"71";"5808";"6396";"1,21904727776652e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,999666666666667";"0";"1,64881448412678";"0,461362663833551";"NaN";"NaN"
"72";"5810";"6397";"1,31584599097358e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,999";"0";"1,62701840004932";"0,44422075618905";"NaN";"NaN"
"73";"5812";"6398";"1,8148375353655e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,734333333333333";"0";"1,67811672584272";"0,478476197875873";"NaN";"NaN"
"74";"5814";"6399";"2,23136774118751e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,999333333333333";"0";"1,64892582157932";"0,455087914052831";"NaN";"NaN"
"75";"5816";"6400";"2,4261275200968e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,998666666666667";"0";"1,66623745866275";"0,465352332702978";"NaN";"NaN"
"76";"5818";"6401";"2,79840482062533e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,999";"0";"1,63854493500762";"0,443248106586682";"NaN";"NaN"
"77";"5820";"6402";"3,00377599564711e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,999333333333333";"0";"1,5989530500794";"0,414132131883551";"NaN";"NaN"
"78";"5822";"6403";"3,30274521631923e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,997";"0";"1,64079385324499";"0,440026657048036";"NaN";"NaN"
"79";"5824";"6404";"3,93058735165674e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,999";"0";"1,72803884625024";"0,504739902551201";"NaN";"NaN"
"80";"5826";"6405";"4,38303640598717e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,999333333333333";"0";"1,67083930170571";"0,456835483803958";"NaN";"NaN"
"81";"5828";"6406";"4,76914696877641e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,998333333333333";"0";"1,6900401947679";"0,468961044131803";"NaN";"NaN"
"82";"5830";"6407";"5,97507765592621e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,993333333333333";"0";"1,68708613066158";"0,464035240676774";"NaN";"NaN"
"83";"5832";"6408";"6,70465515081377e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,995666666666667";"0";"1,71707458737253";"0,485520984457789";"NaN";"NaN"
"84";"5834";"6409";"9,15098772266265e-32";"3,7e-24";"FALSE";"increase";"TRUE";"0,852";"0";"1,64871688195813";"0,429660894336575";"NaN";"NaN"
"85";"5836";"6410";"1,22365574856584e-31";"3,7e-24";"FALSE";"increase";"TRUE";"0,864";"0";"1,70031251786499";"0,466228664612986";"NaN";"NaN"
"86";"5838";"6411";"1,39406484395367e-31";"3,7e-24";"FALSE";"increase";"TRUE";"0,999333333333333";"0";"1,7047229308205";"0,466904939438725";"NaN";"NaN"
"87";"5840";"6412";"1,69864851701288e-31";"3,7e-24";"FALSE";"increase";"TRUE";"0,992666666666667";"0";"1,70329361261386";"0,462740897295292";"NaN";"NaN"
"88";"5842";"6413";"1,89624835160371e-31";"3,7e-24";"FALSE";"increase";"TRUE";"0,998666666666667";"0";"1,67898030170156";"0,440218569441564";"NaN";"NaN"
"89";"5844";"6414";"2,21698573903119e-31";"3,7e-24";"FALSE";"increase";"TRUE";"0,999333333333333";"0";"1,71311853626299";"0,464650579242015";"NaN";"NaN"
"90";"5846";"6415";"2,71100237297448e-31";"3,7e-24";"FALSE";"increase";"TRUE";"0,998666666666667";"0";"1,69647417407451";"0,447593894236293";"NaN";"NaN"
"91";"2127";"2725";"2,12079205211695e-17";"5,72016308049303e-16";"FALSE";"increase";"TRUE";"0,989";"0";"1,50101203878663";"0,44007519344682";"NaN";"NaN"
"92";"2129";"2726";"1,64794355266432e-17";"2,04712861752654e-16";"FALSE";"increase";"TRUE";"1";"0";"1,51203917685614";"0,445470272541757";"NaN";"NaN"
"93";"2131";"2727";"1,56547181149442e-17";"2,24089098722433e-16";"FALSE";"increase";"TRUE";"0,996666666666667";"0";"1,3976188643784";"0,387211613825583";"NaN";"NaN"
"94";"2133";"2728";"1,51639350885667e-17";"1,66845676362128e-16";"FALSE";"increase";"TRUE";"1";"0";"1,50018627441087";"0,438085355547932";"NaN";"NaN"
"95";"2135";"2729";"1,65415232296951e-17";"2,24203282149455e-16";"FALSE";"increase";"TRUE";"0,997333333333333";"0";"1,47198142851778";"0,422793402882261";"NaN";"NaN"
"96";"2137";"2730";"1,43539668800048e-17";"2,90264165582814e-16";"FALSE";"increase";"TRUE";"0,997666666666667";"0";"1,5067171067299";"0,440450076621025";"NaN";"NaN"
