"","initialIndex","finalIndex","shapiro","ad","normality","correlation","cortext","kendall","spearman","pearson"
"182","4648","5214","1.40010894854214e-07","3.30394662122155e-09","FALSE","TRUE","YesCorrelated","0.355868404160513","0.517667186208469","NaN"
"183","4650","5215","1.43625724267561e-07","3.47214022885294e-09","FALSE","TRUE","YesCorrelated","0.354776572125457","0.516509759794415","NaN"
"184","4652","5216","1.8399636643401e-07","5.71606767607286e-09","FALSE","TRUE","YesCorrelated","0.356153894432938","0.518393653281775","NaN"
"185","4654","5217","2.50432511651461e-07","1.1461218529589e-08","FALSE","TRUE","YesCorrelated","0.358792184724689","0.522212586698808","NaN"
"186","4656","5218","2.28350089305932e-07","1.05871216243982e-08","FALSE","TRUE","YesCorrelated","0.360644235570754","0.524409858004952","NaN"
"187","4658","5219","2.39321882359387e-07","1.32005434138754e-08","FALSE","TRUE","YesCorrelated","0.363807638875673","0.528305692398662","NaN"
"188","4660","5220","2.21174068904994e-07","1.06358914747956e-08","FALSE","TRUE","YesCorrelated","0.363381716322893","0.528068545438234","NaN"
"189","4662","5221","1.91876734040291e-07","7.13431701607004e-09","FALSE","TRUE","YesCorrelated","0.36558906210069","0.531197735233303","NaN"
"190","4664","5222","1.63810966553105e-07","5.21459641768559e-09","FALSE","TRUE","YesCorrelated","0.367636780990119","0.53390765273736","NaN"
"191","4666","5223","2.07077476713702e-07","8.1643014196785e-09","FALSE","TRUE","YesCorrelated","0.371556533657651","0.538994885442808","NaN"
"192","4668","5224","2.52136002591806e-07","1.44738380732389e-08","FALSE","TRUE","YesCorrelated","0.376619350838898","0.546089704943059","NaN"
"193","4670","5225","3.0091816353876e-07","2.34323243772161e-08","FALSE","TRUE","YesCorrelated","0.385300408321991","0.559175550529541","NaN"
"194","4672","5226","3.34484541221193e-07","3.24822249908556e-08","FALSE","TRUE","YesCorrelated","0.385370930497284","0.55942099281839","NaN"
"195","4674","5227","2.61080203070149e-07","1.71749248714532e-08","FALSE","TRUE","YesCorrelated","0.390237692664234","0.565769094572275","NaN"
"196","4676","5228","4.41023236047469e-07","4.15351985807716e-08","FALSE","TRUE","YesCorrelated","0.396689991351521","0.575220050846356","NaN"
"197","4678","5229","3.90748734358355e-07","3.86419158390688e-08","FALSE","TRUE","YesCorrelated","0.398392908808753","0.57799376698821","NaN"
"198","4680","5230","3.73130127104386e-07","3.40191280651822e-08","FALSE","TRUE","YesCorrelated","0.398673486223395","0.578488124358873","NaN"
"199","4682","5231","3.27561324824789e-07","2.58851756954549e-08","FALSE","TRUE","YesCorrelated","0.400178837555887","0.580184265071951","NaN"
