"";"initialIndex";"finalIndex";"cv";"shapiro";"ad";"normality";"bestDistFit";"runs";"IQR"
"220";"6022";"6262";"0,343872730561635";"2,35676486121132e-23";"3,7e-24";"FALSE";"lnorm";"3,51061229358497e-10";"8,6557598114013"
"221";"6024";"6263";"0,343763784962931";"2,74135410781776e-23";"3,7e-24";"FALSE";"lnorm";"1,3756133358328e-10";"8,56657934188843"
"222";"6026";"6264";"0,343846428012883";"2,92521657825006e-23";"3,7e-24";"FALSE";"lnorm";"7,01148179327375e-11";"8,530122756958"
"223";"6028";"6265";"0,346002171578313";"5,29596148138127e-23";"3,7e-24";"FALSE";"lnorm";"6,9767875119421e-10";"8,85414028167725"
"224";"6030";"6266";"0,346990443509894";"6,85561795784724e-23";"3,7e-24";"FALSE";"lnorm";"8,77589594962277e-10";"8,9202156066894"
"225";"6032";"6267";"0,347127645511948";"7,67274064389822e-23";"3,7e-24";"FALSE";"lnorm";"2,44223518459603e-10";"8,88579845428462"
"226";"2556";"2805";"0,466438830324943";"5,80315954705282e-07";"2,45772313328552e-09";"FALSE";"gamma";"7,37863943871432e-41";"17,7214298248291"
"227";"2558";"2806";"0,468821751066157";"3,51076148564467e-07";"8,61366463401955e-10";"FALSE";"gamma";"1,36744911756624e-40";"17,3752689361573"
"228";"2560";"2807";"0,471333701730866";"1,93610757655519e-07";"2,0587539836563e-10";"FALSE";"gamma";"7,47636247760206e-39";"17,1003766059876"
"229";"2562";"2808";"0,473887312117706";"1,02670870328873e-07";"3,88970446953509e-11";"FALSE";"gamma";"3,4658109035868e-37";"17,42724609375"
"230";"2564";"2809";"0,475787551912047";"6,84710169059844e-08";"1,58654278049634e-11";"FALSE";"lnorm";"5,40199726411492e-37";"17,1262333393097"
"231";"2566";"2810";"0,478355980836649";"3,6082744147162e-08";"3,09446380743939e-12";"FALSE";"lnorm";"9,29280222589072e-37";"17,1146364212036"
"232";"2568";"2811";"0,481529086191427";"1,87437867559518e-08";"5,7862395652543e-13";"FALSE";"lnorm";"4,40771578076884e-35";"16,2061078548431"
"233";"2570";"2812";"0,485589420325456";"1,04346555497864e-08";"1,2722589763814e-13";"FALSE";"lnorm";"1,73820791426943e-33";"15,7659273147583"
"234";"2572";"2813";"0,489446036924628";"6,69933943527996e-09";"3,83099617113662e-14";"FALSE";"lnorm";"2,26791840868421e-35";"16,07692694664"
"235";"2574";"2814";"0,493283823021123";"6,59488720910937e-09";"4,38405219459379e-14";"FALSE";"lnorm";"3,51270034113493e-35";"16,3310470581054"
"236";"2576";"2815";"0,497209848083894";"7,17083940765936e-09";"6,73450823549573e-14";"FALSE";"lnorm";"5,44410090119753e-35";"16,6170990467071"
"237";"2578";"2816";"0,502550052539529";"7,3808000138662e-09";"6,58560084544492e-14";"FALSE";"lnorm";"1,61481373258339e-35";"16,9445853233337"
"238";"2580";"2817";"0,507870994541427";"7,7312714245079e-09";"7,11803526238361e-14";"FALSE";"lnorm";"5,22131262195367e-36";"17,1712956428528"
"239";"2582";"2818";"0,511560987556055";"9,80148760277361e-09";"1,7967692791957e-13";"FALSE";"lnorm";"1,37517498359664e-36";"17,3468055725098"
