"";"initialIndex";"finalIndex";"shapiro";"ad";"normality";"trend";"outliers";"snht";"grubbs";"pettitt";"lanzante";"buishandU";"buishandRange"
"176";"5982";"6554";"1,90515517732875e-10";"3,29600602309678e-10";"FALSE";"none";"TRUE";"0";"2,37455919580576e-05";"5,19535534472869e-07";"3,70039137575072e-09";"NaN";"NaN"
"177";"5984";"6555";"2,19772173561229e-10";"4,51602268846893e-10";"FALSE";"none";"TRUE";"0";"2,37444824975341e-05";"3,29192546360882e-07";"1,97662912578356e-09";"NaN";"NaN"
"178";"5986";"6556";"3,23675827265695e-10";"1,01620351976286e-09";"FALSE";"none";"TRUE";"0";"2,54330281512782e-05";"2,69805688649853e-07";"1,4227424262882e-09";"NaN";"NaN"
"179";"5988";"6557";"4,10007474902066e-10";"1,80468498866572e-09";"FALSE";"none";"TRUE";"0";"2,63912527198595e-05";"2,59134729780075e-07";"1,23128976142678e-09";"NaN";"NaN"
"180";"5990";"6558";"4,3598569507226e-10";"1,62850344848599e-09";"FALSE";"none";"TRUE";"0";"2,78521034065005e-05";"4,31390759479336e-07";"2,05549304711025e-09";"NaN";"NaN"
"181";"1348";"1945";"7,27939631880075e-15";"1,64159329747831e-22";"FALSE";"increase";"TRUE";"0,585666666666667";"1,08500400384237e-05";"1,33365373205142";"0,36607155621127";"NaN";"NaN"
"182";"1350";"1946";"9,21892643431902e-15";"1,4712497566017e-22";"FALSE";"increase";"TRUE";"0,192333333333333";"1,32999380202392e-05";"1,21589134001985";"0,316707253979958";"NaN";"NaN"
"183";"1352";"1947";"6,65882789684152e-15";"2,21538440003682e-23";"FALSE";"increase";"TRUE";"0,0336666666666667";"1,84003519487774e-05";"1,32648014450807";"0,363312949776789";"NaN";"NaN"
"184";"1354";"1948";"5,17437221050468e-15";"5,82775815693163e-24";"FALSE";"increase";"TRUE";"0,018";"2,52671592428921e-05";"1,26311235799529";"0,336369095179599";"NaN";"NaN"
"185";"1356";"1949";"7,47084062396855e-15";"8,41999481240675e-24";"FALSE";"increase";"TRUE";"0,522333333333333";"2,99382401631743e-05";"1,33996805453902";"0,369660454451689";"NaN";"NaN"
