"","initialIndex","finalIndex","shapiro","ad","normality","trend","outliers","snht","grubbs","pettitt","lanzante","buishandU","buishandRange"
"1","956","1205","1.38076346133021e-13","1.27033898419836e-14","FALSE","decrease","TRUE","0.910666666666667","2.25491092464836e-09","1.52791496699019","0.352887686159432","NaN","NaN"
"2","958","1206","9.76434527321862e-14","4.06598388327885e-15","FALSE","decrease","TRUE","1","2.05945305253863e-09","1.50694140585888","0.451389786667719","NaN","NaN"
"3","960","1207","1.27120229832544e-13","9.95096108385048e-15","FALSE","decrease","TRUE","1","2.35852770646972e-09","1.52590218259153","0.461181169512337","NaN","NaN"
"4","962","1208","1.43085757416118e-13","1.20780224689726e-14","FALSE","decrease","TRUE","1","2.56506749174434e-09","1.49036700638584","0.441798160401044","NaN","NaN"
"5","964","1209","1.55884990942342e-13","1.3373401186411e-14","FALSE","decrease","TRUE","1","2.6607493985864e-09","1.55201433398895","0.474608220901187","NaN","NaN"
"6","966","1210","2.04962429910858e-13","3.24851146943466e-14","FALSE","decrease","TRUE","0.987333333333333","3.0490250324533e-09","1.640545721909","0.442805142430557","NaN","NaN"
"7","968","1211","2.4594088533141e-13","5.34788905558059e-14","FALSE","decrease","TRUE","0.896","3.35859740019373e-09","1.53003942500595","0.461104262326534","NaN","NaN"
"8","970","1212","1.8003185914248e-13","8.46081136044809e-14","FALSE","decrease","TRUE","0.767","1.8986383576447e-09","1.417079539859","0.396723565477191","NaN","NaN"
"9","972","1213","2.46209185756213e-13","1.60586660549009e-13","FALSE","decrease","TRUE","0.992666666666667","2.37717012741001e-09","1.36496524205963","0.376888491589745","NaN","NaN"
"10","974","1214","2.52034644868276e-13","1.42152652819199e-13","FALSE","decrease","TRUE","0.992333333333333","2.52891041441217e-09","1.36732324824665","0.376942972915445","NaN","NaN"
"11","976","1215","4.69759181376279e-13","4.52453452404002e-13","FALSE","decrease","TRUE","0.860666666666667","3.3988885039804e-09","1.32041042303664","0.354740420018251","NaN","NaN"
"12","978","1216","5.0635493228279e-13","4.46093145800812e-13","FALSE","decrease","TRUE","0.811666666666667","3.53538576192136e-09","1.25204830347053","0.324383318462062","NaN","NaN"
"13","980","1217","5.39371848762723e-13","4.48278356418294e-13","FALSE","decrease","TRUE","0.984","3.70050723397242e-09","1.39714325375871","0.387174826589295","NaN","NaN"
"14","982","1218","6.18857362206202e-13","5.85132591251177e-13","FALSE","decrease","TRUE","0.492","4.02839184232562e-09","1.44902315772552","0.411038684268758","NaN","NaN"
"15","984","1219","2.26120095324223e-13","2.14312738259913e-13","FALSE","decrease","TRUE","0.991666666666667","1.88627224950721e-09","1.45422131724173","0.412122953907604","NaN","NaN"
"16","3212","3461","0.00709782154031856","0.00308799303770367","FALSE","decrease","FALSE","0.989666666666667","0.063648763651611","1.41651109551402","0.406661533364477","NaN","NaN"
"17","3214","3462","0.0097410617447838","0.00479857556823546","FALSE","decrease","FALSE","0.927666666666667","0.0651224501024199","1.37599403091233","0.387475885839361","NaN","NaN"
"18","3216","3463","0.0058345694523135","0.00242254443668889","FALSE","decrease","FALSE","0.665333333333333","0.0598698061277794","1.54972904644069","0.47533836325229","NaN","NaN"
"19","3218","3464","0.00434123448977785","0.002166456924334","FALSE","decrease","FALSE","0.962","0.0570679754694936","1.43544206223303","0.415338032982937","NaN","NaN"
"20","3220","3465","0.00322266137039906","0.00148084990805328","FALSE","decrease","FALSE","0.771333333333333","0.0557825201533635","1.49530005481437","0.445353743332312","NaN","NaN"
"21","3222","3466","0.00219028931086648","0.00102367883034945","FALSE","decrease","TRUE","1","0.0492089968936482","1.6600328733136","0.541077763177632","NaN","NaN"
"22","3224","3467","0.00325003676508155","0.00156110703175255","FALSE","decrease","FALSE","0.989","0.0533176533423674","1.67732912738491","0.552168500448995","NaN","NaN"
"23","3226","3468","0.00433370824903416","0.00166783867468799","FALSE","decrease","FALSE","0.489666666666667","0.0596346585081733","1.48009279328387","0.436060638506173","NaN","NaN"
"24","3228","3469","0.00757917601292088","0.00353923469403062","FALSE","decrease","FALSE","0.996","0.0647272637826146","1.5260331850405","0.459771272257288","NaN","NaN"
"25","3230","3470","0.00970848208680331","0.005172717474931","FALSE","decrease","FALSE","1","0.0662758975402866","1.47748668829443","0.433378190647718","NaN","NaN"
"26","3232","3471","0.011359587004931","0.00607330396788473","FALSE","decrease","FALSE","0.995","0.0676256897825853","1.67550140170032","0.548608046644326","NaN","NaN"
"27","3234","3472","0.0136514685338373","0.0072909563350649","FALSE","decrease","FALSE","0.798666666666667","0.0684560652505979","1.61854525575007","0.511059872875118","NaN","NaN"
"28","3236","3473","0.0125610118564283","0.0081662921135596","FALSE","decrease","FALSE","0.919","0.0684852703543419","1.45930764804261","0.421413635070574","NaN","NaN"
"29","3238","3474","0.0130658278034746","0.0124054453095731","FALSE","decrease","FALSE","1","0.0593934121037858","1.53924375611785","0.462674360581604","NaN","NaN"
"30","3240","3475","0.0147510192182097","0.014184204139593","FALSE","decrease","FALSE","0.997333333333333","0.0609916088089463","1.616516950913","0.506807238910774","NaN","NaN"
