"";"initialIndex";"finalIndex";"shapiro";"ad";"normality";"correlation";"cortext";"kendall";"spearman";"pearson"
"487";"9339";"9900";"2,83548604539549e-12";"1,04566989099191e-14";"FALSE";"FALSE";"NoCorrelated";"0,296299820478175";"0,426626475068704";"NaN"
"488";"9341";"9901";"2,21257840921495e-12";"4,53106426078431e-15";"FALSE";"FALSE";"NoCorrelated";"0,298090145148969";"0,429112576768009";"NaN"
"489";"9343";"9902";"2,32208066925321e-12";"4,16383625598656e-15";"FALSE";"FALSE";"NoCorrelated";"0,304625606951188";"0,437604324540029";"NaN"
"490";"9345";"9903";"2,3159914539768e-12";"3,76668847649937e-15";"FALSE";"FALSE";"NoCorrelated";"0,30813472598919";"0,442220376522702";"NaN"
"491";"9347";"9904";"2,75768719387614e-12";"5,26138963821299e-15";"FALSE";"FALSE";"NoCorrelated";"0,313269370604171";"0,45015421097368";"NaN"
"492";"9349";"9905";"2,61468842672009e-12";"2,93541677741792e-15";"FALSE";"FALSE";"NoCorrelated";"0,312478204151221";"0,448726719672504";"NaN"
"493";"9351";"9906";"3,15608439922851e-12";"3,97550094330005e-15";"FALSE";"FALSE";"NoCorrelated";"0,314965325037267";"0,452325466522798";"NaN"
"494";"9353";"9907";"3,17000573336632e-12";"2,69188436253251e-15";"FALSE";"FALSE";"NoCorrelated";"0,315952775880574";"0,453983227702159";"NaN"
"495";"9355";"9908";"2,5753590902428e-12";"9,58741444202688e-16";"FALSE";"FALSE";"NoCorrelated";"0,319197550610063";"0,458323548347768";"NaN"
"496";"9357";"9909";"2,45538592881781e-12";"5,9762331288017e-16";"FALSE";"FALSE";"NoCorrelated";"0,32540556123385";"0,46682420029956";"NaN"
"497";"9359";"9910";"2,79780836316649e-12";"6,82526051727988e-16";"FALSE";"FALSE";"NoCorrelated";"0,32734948315316";"0,468929473590035";"NaN"
"498";"9361";"9911";"3,28094478741666e-12";"8,64009620849778e-16";"FALSE";"FALSE";"NoCorrelated";"0,331938623989441";"0,475275711426583";"NaN"
"499";"9363";"9912";"3,92931898150554e-12";"8,66703138240513e-16";"FALSE";"FALSE";"NoCorrelated";"0,332816691505216";"0,476834477890085";"NaN"
"500";"9365";"9913";"4,95597320697709e-12";"1,38602376148265e-15";"FALSE";"FALSE";"NoCorrelated";"0,334835733184423";"0,480118137217575";"NaN"
"501";"8532";"9129";"2,21357527641908e-18";"2,3421633687078e-06";"FALSE";"TRUE";"YesCorrelated";"0,510372374693983";"0,69557756903063";"NaN"
"502";"8534";"9130";"2,23927526133053e-18";"2,82954896679867e-06";"FALSE";"TRUE";"YesCorrelated";"0,507380301957213";"0,692001115767159";"NaN"
"503";"8536";"9131";"1,7091701540473e-18";"2,02636289907092e-06";"FALSE";"TRUE";"YesCorrelated";"0,502250296091591";"0,685223818035527";"NaN"
"504";"8538";"9132";"1,05181643181964e-18";"8,93400500902638e-07";"FALSE";"TRUE";"YesCorrelated";"0,499963217610276";"0,682635274976373";"NaN"
"505";"8540";"9133";"1,11220506326456e-18";"1,20336381582793e-06";"FALSE";"TRUE";"YesCorrelated";"0,497822519744948";"0,679897820439433";"NaN"
"506";"8542";"9134";"1,16953164513029e-18";"1,45126772453066e-06";"FALSE";"TRUE";"YesCorrelated";"0,496171550977622";"0,677722314526699";"NaN"
"507";"8544";"9135";"9,80783435641272e-19";"1,12117459550499e-06";"FALSE";"TRUE";"YesCorrelated";"0,493060319202451";"0,673788924473733";"NaN"
