"row","initialIndex","finalIndex","shapiro","ad","trend","runs","numRuns","ljung"
"1",2000,3210,9.70948045680525e-15,8.13049196567145e-16,0,3.23443153832991e-261,6,0
"2",5300,6510,3.66833158400867e-23,3.7e-24,0,1.11889178457888e-264,2,0
"3",6500,7710,1.0295273605193e-44,3.7e-24,3.57933444572967e-13,1.61058328756297e-263,3,0
"4",8200,9410,5.0825865702714e-46,3.7e-24,3.27180220649374e-21,1.52087900854702e-264,2,0
"5",11900,13110,3.36615216955027e-44,3.7e-24,1.48945575602364e-178,1.61058328756297e-263,3,0
"6",13900,15110,1.28754429649992e-46,3.7e-24,3.13958574116496e-15,1.62090395583004e-263,3,0
"7",15600,16810,1.49053941624348e-46,3.7e-24,8.29428138727611e-54,1.61058328756297e-263,3,0
