"row","initialIndex","finalIndex","shapiro","ad","trend","runs","numRuns","ljung"
"1",1000,2210,1.13390998025267e-23,3.7e-24,1.59221627564013e-10,4.68120566319514e-262,5,0
"2",5200,6410,1.62033650025927e-54,3.7e-24,0,8.52096689220672e-06,113,6.73526013739156e-07
"3",9500,10710,3.11943224345255e-54,3.7e-24,1.47976785816901e-16,2.73774431670806e-113,109,3.7146993259185e-09
"4",11900,13110,2.67184057273106e-52,3.7e-24,5.96889971500251e-63,1.53508319010281e-154,101,2.33146835171283e-14
"5",13900,15110,2.24879153949034e-55,3.7e-24,0,2.54322283564661e-05,117,0.000142508463022883
"6",16000,17210,2.2770860737699e-17,3.7e-24,0,3.57693672956864e-249,20,0
"7",18600,19810,3.13945973495996e-55,3.7e-24,2.66792372958212e-239,0.185754298000723,109,0.0172136084398707
