"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"3",12000,12202,"BuishandR",27,25,"42, 49, 54, 61, 68, 74, 80, 89, 97, 102, 106, 115, 121, 125, 128, 132, 137, 143, 148, 154, 162, 165, 169, 175, 180, 195, 198","39, 44, 51, 57, 63, 78, 83, 86, 91, 95, 99, 104, 109, 119, 123, 126, 130, 140, 147, 160, 167, 170, 190, 197, 200","149.512787734676, 89.5657687534629, 69.5060947462128, 74.9226728790756, 92.2173216277603, 105.812096267501, 118.487416855691, 101.17553436027, 110.146459505792, 90.9364160453945, 71.6340071203791, 111.661512862099, 95.0612465482225, 127.39606368091, 124.283995501565, 76.2360786286171, 97.8331080903328, 113.115145658803, 81.9509770158191, 100.784202211676, 151.996597179207, 81.5688023117835, 114.831231106267, 119.148044936835, 127.933402000493, 74.1076939857994, 90.6628637797582","164.037700472023, 106.984083012241, 49.076184238337, 111.20930921018, 100.048029573009, 134.084775310634, 79.1581206133508, 178.060351115469, 54.1743796829065, 84.5907198538944, 107.425930072953, 79.2430485637537, 84.555626261473, 108.689695705796, 65.1306745545243, 118.350980753544, 119.185093865577, 161.641032413774, 89.7010062589797, 136.347703315094, 110.539787857435, 123.41724489311, 95.480661646392, 81.4432108383076, 91.7993726861259"
"4",12000,12202,"BuishandU",27,25,"42, 49, 54, 61, 68, 74, 80, 89, 97, 102, 106, 115, 121, 125, 128, 132, 137, 143, 148, 154, 162, 165, 169, 175, 180, 195, 198","39, 44, 51, 57, 63, 78, 83, 86, 91, 95, 99, 104, 109, 119, 123, 126, 130, 140, 147, 160, 167, 170, 190, 197, 200","149.512787734676, 89.5657687534629, 69.5060947462128, 74.9226728790756, 92.2173216277603, 105.812096267501, 118.487416855691, 101.17553436027, 110.146459505792, 90.9364160453945, 71.6340071203791, 111.661512862099, 95.0612465482225, 127.39606368091, 124.283995501565, 76.2360786286171, 97.8331080903328, 113.115145658803, 81.9509770158191, 100.784202211676, 151.996597179207, 81.5688023117835, 114.831231106267, 119.148044936835, 127.933402000493, 74.1076939857994, 90.6628637797582","164.037700472023, 106.984083012241, 49.076184238337, 111.20930921018, 100.048029573009, 134.084775310634, 79.1581206133508, 178.060351115469, 54.1743796829065, 84.5907198538944, 107.425930072953, 79.2430485637537, 84.555626261473, 108.689695705796, 65.1306745545243, 118.350980753544, 119.185093865577, 161.641032413774, 89.7010062589797, 136.347703315094, 110.539787857435, 123.41724489311, 95.480661646392, 81.4432108383076, 91.7993726861259"
"5",12000,12202,"Lanzante",27,25,"23, 42, 49, 54, 61, 68, 74, 80, 89, 92, 97, 102, 106, 115, 121, 125, 128, 132, 137, 143, 148, 154, 165, 169, 175, 195, 198","39, 44, 51, 57, 63, 69, 78, 83, 87, 91, 95, 99, 104, 109, 116, 119, 123, 126, 130, 141, 167, 170, 190, 197, 200","32.2756443145776, 1.57230379475936, 0.835547736633117, 0.704585061981987, 0.698824282410584, 0.862793712005413, 0.991472781404212, 1.35980568684312, 1.10782562512921, 1.88346314042315, 1.05863067952399, 0.896017560979999, 0.695166611550803, 1.45052474859617, 0.913912984551843, 1.47016029829916, 1.24600899579917, 0.798032376864114, 0.969704819884839, 1.15021057760981, 0.753880959194248, 0.900462628555601, 0.799082831288558, 1.0917884529905, 1.26244931754917, 0.732463452134283, 0.955570133623723","2.04606037733566, 1.16960539961383, 0.598448963146893, 3.87474719499224, 0.924345881382806, 0.892633318454443, 1.3796073163326, 0.752844914561535, 1.90531672060956, 0.610629480679904, 0.835263227094885, 1.0101372068203, 0.740060164052579, 0.759173041354245, 0.654122089923845, 1.16083087219178, 0.651165479245378, 1.14376964228975, 1.19457640583178, 1.96259750083846, 1.09112509232432, 1.23645162550028, 1.00848281469894, 0.840274142659155, 1.06069667520512"
"1",14350,14552,"SNHT",13,15,"42, 69, 108, 112, 116, 124, 128, 143, 156, 172, 176, 185, 195","44, 74, 83, 109, 114, 118, 126, 131, 138, 154, 166, 173, 184, 192, 199","179.243639296444, 179.359721368933, 114.194991948741, 103.778238707688, 125.729173836002, 80.6068844381972, 137.396137623345, 147.852185303245, 55.6653520948401, 85.700384501172, 61.140204588855, 134.410368205431, 150.344855076977","179.00280921233, 179.436595117008, 179.23205846007, 82.1237453541121, 148.032806066342, 158.939645029295, 72.2117468151424, 98.7779739029829, 64.2494465232774, 99.3853119721659, 101.054015134473, 93.704501600481, 145.441306360814, 177.481158328426, 166.498542268465"
"2",14350,14552,"Pettitt",15,15,"40, 53, 66, 108, 112, 116, 124, 128, 136, 142, 156, 172, 176, 185, 195","45, 58, 100, 109, 114, 119, 126, 131, 138, 154, 166, 173, 184, 188, 201","48.0127875041833, 54.4623222080256, 5.50234042618251, 2.2205394732712, 0.722091602761253, 0.822604900473692, 0.707454138826336, 0.877976539348992, 1.000367004624, 1.87761678147166, 0.648417150132616, 0.693928302602018, 0.633115418840475, 0.759591330798685, 0.784001325539805","14.2259638987518, 48.0127875041833, 14.2259638987518, 0.650411364726267, 0.928980939904619, 0.907853104801603, 0.662925294257576, 0.760683750754765, 0.680084144603143, 0.786221822478836, 0.943383249458037, 0.709010769549678, 0.837096565246327, 0.668442715006108, 0.606315860289357"
"3",14350,14552,"BuishandR",12,14,"77, 108, 112, 116, 124, 128, 143, 156, 172, 176, 185, 195","81, 109, 114, 119, 126, 133, 138, 154, 166, 169, 173, 184, 188, 201","179.038652553663, 106.400772576664, 91.3546819466334, 115.860024627418, 83.1720585030811, 137.482567970542, 158.9474304995, 67.0908791163331, 85.0900850489155, 63.7725680459792, 100.652875327719, 104.754884267622","177.757089761649, 67.8329234196366, 140.21540402734, 122.299909920488, 71.2214734846035, 60.6165495782058, 74.0794256961486, 94.2473199154981, 94.2082246350291, 71.4382395215416, 92.9798000238234, 119.350065322962, 78.7507456292486, 51.2935088859527"
"4",14350,14552,"BuishandU",12,14,"77, 108, 112, 116, 124, 128, 143, 156, 172, 176, 185, 195","81, 109, 114, 119, 126, 133, 138, 154, 166, 169, 173, 184, 188, 201","179.038652553663, 106.400772576664, 91.3546819466334, 115.860024627418, 83.1720585030811, 137.482567970542, 158.9474304995, 67.0908791163331, 85.0900850489155, 63.7725680459792, 100.652875327719, 104.754884267622","177.757089761649, 67.8329234196366, 140.21540402734, 122.299909920488, 71.2214734846035, 60.6165495782058, 74.0794256961486, 94.2473199154981, 94.2082246350291, 71.4382395215416, 92.9798000238234, 119.350065322962, 78.7507456292486, 51.2935088859527"
"5",14350,14552,"Lanzante",15,15,"40, 53, 66, 108, 112, 116, 124, 128, 136, 142, 156, 172, 176, 185, 195","45, 58, 100, 109, 114, 119, 126, 131, 138, 154, 166, 173, 184, 188, 201","48.0127875041833, 54.4623222080256, 5.50234042618251, 2.2205394732712, 0.722091602761253, 0.822604900473692, 0.707454138826336, 0.877976539348992, 1.000367004624, 1.87761678147166, 0.648417150132616, 0.693928302602018, 0.633115418840475, 0.759591330798685, 0.784001325539805","14.2259638987518, 48.0127875041833, 14.2259638987518, 0.650411364726267, 0.928980939904619, 0.907853104801603, 0.662925294257576, 0.760683750754765, 0.680084144603143, 0.786221822478836, 0.943383249458037, 0.709010769549678, 0.837096565246327, 0.668442715006108, 0.606315860289357"
"1",16750,16952,"SNHT",11,11,"82, 97, 133, 143, 156, 161, 167, 179, 184, 197, 200","92, 126, 138, 149, 153, 159, 165, 173, 177, 180, 193","177.203768581223, 165.705608322555, 92.9841541866791, 99.9567051956849, 62.7395860223913, 85.3389740495221, 115.275811179894, 103.725313501756, 62.3724345800857, 44.7432998875925, 37.7188185551355","176.689322761345, 114.652379078455, 100.155101249478, 76.6268006230518, 54.2228260980738, 96.6129982094151, 22.7307652670938, 88.7597720805187, 92.0650731590685, 77.8982613373541, 127.098425883897"
"2",16750,16952,"Pettitt",10,10,"74, 133, 143, 151, 156, 161, 166, 183, 197, 200","126, 138, 149, 153, 160, 165, 177, 180, 193, 201","36.0273733851036, 1.21700845690788, 0.816192828448976, 1.24592836817143, 26.9020812869358, 0.772723629997529, 1.25466208683696, 3.49813673131558, 0.613221627383979, 0.621605333075223","0.916197913305979, 0.865261566912039, 0.767342567358497, 0.688681704019217, 1.04384550614759, 0.573010319198403, 1.51303844551319, 0.832253693652149, 0.664168986891866, 0.629352979086349"
"3",16750,16952,"BuishandR",11,10,"83, 97, 133, 143, 151, 156, 161, 179, 184, 197, 200","90, 126, 138, 149, 153, 160, 165, 177, 180, 193","176.828619779258, 169.692661935964, 119.618636368868, 103.860420182055, 124.339658803997, 105.968572940003, 109.961118507802, 125.706255067086, 100.350765045534, 55.8394968358795, 60.1375103111609","177.884232549158, 121.612497875423, 103.29064767994, 106.975967462362, 79.9559877396713, 132.763333083331, 36.9461472973458, 111.147211013199, 98.9418497664624, 72.048184521977"
"4",16750,16952,"BuishandU",11,10,"83, 97, 133, 143, 151, 156, 161, 179, 184, 197, 200","90, 126, 138, 149, 153, 160, 165, 177, 180, 193","176.828619779258, 169.692661935964, 119.618636368868, 103.860420182055, 124.339658803997, 105.968572940003, 109.961118507802, 125.706255067086, 100.350765045534, 55.8394968358795, 60.1375103111609","177.884232549158, 121.612497875423, 103.29064767994, 106.975967462362, 79.9559877396713, 132.763333083331, 36.9461472973458, 111.147211013199, 98.9418497664624, 72.048184521977"
"5",16750,16952,"Lanzante",10,10,"74, 133, 143, 151, 156, 161, 166, 183, 197, 200","126, 138, 149, 153, 160, 165, 177, 180, 193, 201","36.0273733851036, 1.21700845690788, 0.816192828448976, 1.24592836817143, 26.9020812869358, 0.772723629997529, 1.25466208683696, 3.49813673131558, 0.613221627383979, 0.621605333075223","0.916197913305979, 0.865261566912039, 0.767342567358497, 0.688681704019217, 1.04384550614759, 0.573010319198403, 1.51303844551319, 0.832253693652149, 0.664168986891866, 0.629352979086349"
"1",18000,18202,"SNHT",20,19,"32, 89, 93, 101, 110, 116, 119, 125, 128, 134, 140, 150, 155, 162, 166, 175, 184, 188, 192, 199","82, 88, 91, 95, 107, 111, 114, 132, 136, 144, 153, 160, 163, 167, 174, 177, 186, 191, 196","179.963791592415, 171.865311643294, 171.718980529867, 133.761746175812, 139.984836956099, 126.904868383907, 158.621437300395, 113.284681741373, 169.676609284819, 155.026223279891, 131.32511650214, 130.496001239182, 152.506910868515, 155.03796738098, 160.760624661132, 174.856953794001, 125.942941330768, 144.424671580367, 131.180089092316, 84.4978800101537","179.996595195242, 174.899228743254, 177.223828756805, 160.101170545215, 149.977690455326, 144.534347966038, 136.933764216215, 171.642213247528, 152.51693637999, 163.059547888988, 169.935942711137, 170.464534888165, 160.488580655352, 154.451385875028, 175.415121605431, 177.299698732354, 169.140356529832, 152.239543888734, 133.573476784538"
"2",18000,18202,"Pettitt",18,19,"40, 47, 93, 103, 107, 111, 114, 134, 140, 150, 155, 162, 168, 175, 186, 191, 194, 197","44, 89, 101, 110, 116, 119, 125, 128, 136, 144, 153, 160, 163, 167, 174, 184, 188, 192, 199","49.3987053549955, 49.3987053549955, 0.804512986430552, 0.835263227094885, 0.719763977233328, 0.670458107198158, 0.722908960780444, 0.677302658676069, 0.678662647612924, 0.647464122764148, 0.77009157883063, 0.701327751049973, 0.717982758455975, 0.804135616589292, 1.15851478379574, 0.898479396342765, 0.890911923858255, 0.607676774891956","49.3987053549955, 0.698720359005563, 0.691205203244948, 0.639455098853716, 0.674013714237333, 1.03086008336857, 0.582052975752703, 0.976428846452762, 0.684357472111657, 0.84817250397063, 1.05454511528822, 0.755933647538143, 0.791335185277433, 0.694715438105305, 0.63466519378963, 0.736093711557686, 0.903165506653664, 0.654823162505949, 0.66816981534231"
"3",18000,18202,"BuishandR",17,19,"39, 88, 93, 107, 111, 114, 134, 140, 150, 155, 162, 166, 175, 186, 191, 194, 197","38, 89, 101, 110, 116, 119, 125, 128, 136, 144, 153, 160, 163, 167, 174, 184, 188, 192, 199","179.682235927864, 99.4605041216177, 97.8935090155362, 73.8760868790433, 66.8214051407598, 68.876244322977, 69.5719644494832, 70.414305573087, 59.0411090256448, 94.1350905800283, 73.0406799697114, 98.7468432990317, 97.015355306817, 150.276967133879, 102.089574734393, 107.567274538589, 54.4500724309663","179.682235927864, 73.9285357995736, 71.163897249487, 61.4833745512494, 69.2942552080513, 127.237515935962, 41.4721738134324, 120.256370689384, 70.387681072671, 95.8333029789685, 125.40138464413, 89.4598692842366, 85.9173823195614, 73.457097425414, 61.0354419524524, 86.9373795348168, 108.135835726486, 65.4663360341285, 59.1720397454248"
"4",18000,18202,"BuishandU",17,19,"39, 88, 93, 107, 111, 114, 134, 140, 150, 155, 162, 166, 175, 186, 191, 194, 197","38, 89, 101, 110, 116, 119, 125, 128, 136, 144, 153, 160, 163, 167, 174, 184, 188, 192, 199","179.682235927864, 99.4605041216177, 97.8935090155362, 73.8760868790433, 66.8214051407598, 68.876244322977, 69.5719644494832, 70.414305573087, 59.0411090256448, 94.1350905800283, 73.0406799697114, 98.7468432990317, 97.015355306817, 150.276967133879, 102.089574734393, 107.567274538589, 54.4500724309663","179.682235927864, 73.9285357995736, 71.163897249487, 61.4833745512494, 69.2942552080513, 127.237515935962, 41.4721738134324, 120.256370689384, 70.387681072671, 95.8333029789685, 125.40138464413, 89.4598692842366, 85.9173823195614, 73.457097425414, 61.0354419524524, 86.9373795348168, 108.135835726486, 65.4663360341285, 59.1720397454248"
"5",18000,18202,"Lanzante",18,19,"40, 47, 93, 103, 107, 111, 114, 134, 140, 150, 155, 162, 168, 175, 186, 191, 194, 197","44, 89, 101, 110, 116, 119, 125, 128, 136, 144, 153, 160, 163, 167, 174, 184, 188, 192, 199","49.3987053549955, 49.3987053549955, 0.804512986430552, 0.835263227094885, 0.719763977233328, 0.670458107198158, 0.722908960780444, 0.677302658676069, 0.678662647612924, 0.647464122764148, 0.77009157883063, 0.701327751049973, 0.717982758455975, 0.804135616589292, 1.15851478379574, 0.898479396342765, 0.890911923858255, 0.607676774891956","49.3987053549955, 0.698720359005563, 0.691205203244948, 0.639455098853716, 0.674013714237333, 1.03086008336857, 0.582052975752703, 0.976428846452762, 0.684357472111657, 0.84817250397063, 1.05454511528822, 0.755933647538143, 0.791335185277433, 0.694715438105305, 0.63466519378963, 0.736093711557686, 0.903165506653664, 0.654823162505949, 0.66816981534231"
