time,hygrometer,moisture,air_humidity,tempC,tempF,error,annotation
21-08-16T22:50:32,959,7,83.00,27.80,82.04,0,None
21-08-16T22:52:32,959,7,82.00,27.80,82.04,0,None
21-08-16T22:54:32,959,7,83.00,27.90,82.22,0,None
21-08-16T22:56:32,959,7,83.00,27.90,82.22,0,None
21-08-16T22:58:32,959,7,82.00,27.90,82.22,0,None
21-08-16T23:00:32,958,7,82.00,27.90,82.22,0,None
21-08-16T23:02:32,56,95,82.00,27.90,82.22,0,Irrigation
21-08-16T23:04:32,80,93,83.00,27.90,82.22,0,None
21-08-16T23:06:32,121,89,82.00,28.00,82.40,0,None
21-08-16T23:08:32,162,85,83.00,27.90,82.22,0,None
21-08-16T23:10:32,188,82,83.00,27.90,82.22,0,None
21-08-16T23:12:32,206,80,82.00,28.00,82.40,0,None
21-08-16T23:14:32,226,78,83.00,27.90,82.22,0,Airconditioningon
21-08-16T23:16:32,240,77,84.00,27.90,82.22,0,None
21-08-16T23:18:32,251,76,82.00,27.60,81.68,0,None
21-08-16T23:20:32,262,75,78.00,27.30,81.14,0,None
21-08-16T23:22:32,270,74,76.00,27.00,80.60,0,None
21-08-16T23:24:32,277,73,74.00,27.00,80.60,0,None
21-08-16T23:26:32,283,73,72.00,26.90,80.42,0,None
21-08-16T23:28:32,288,72,71.00,26.80,80.24,0,None
21-08-16T23:30:32,297,71,70.00,26.80,80.24,0,None
21-08-16T23:32:32,300,71,70.00,26.80,80.24,0,None
21-08-16T23:34:32,303,71,70.00,26.70,80.06,0,None
21-08-16T23:36:32,304,71,69.00,26.70,80.06,0,None
21-08-16T23:38:32,306,71,69.00,26.70,80.06,0,None
21-08-16T23:40:32,308,70,69.00,26.60,79.88,0,None
21-08-16T23:42:33,310,70,68.00,26.60,79.88,0,None
21-08-16T23:44:33,311,70,68.00,26.50,79.70,0,None
21-08-16T23:46:33,313,70,68.00,26.50,79.70,0,None
21-08-16T23:48:33,314,70,68.00,26.50,79.70,0,None
21-08-16T23:50:33,314,70,68.00,26.40,79.52,0,None
21-08-16T23:52:33,314,70,67.00,26.40,79.52,0,None
21-08-16T23:54:33,315,70,67.00,26.40,79.52,0,None
21-08-16T23:56:33,317,70,67.00,26.40,79.52,0,None
21-08-16T23:58:33,318,69,67.00,26.30,79.34,0,None
21-08-17T00:00:33,316,70,67.00,26.30,79.34,0,None
21-08-17T00:02:33,317,70,66.00,26.30,79.34,0,None
21-08-17T00:04:33,317,70,66.00,26.40,79.52,0,None
21-08-17T00:06:33,317,70,67.00,26.50,79.70,0,None
21-08-17T00:08:33,316,70,67.00,26.50,79.70,0,None
21-08-17T00:10:33,315,70,67.00,26.60,79.88,0,None
21-08-17T00:12:33,316,70,66.00,26.60,79.88,0,None
21-08-17T00:14:33,317,70,66.00,26.60,79.88,0,None
21-08-17T00:16:33,317,70,66.00,26.60,79.88,0,None
21-08-17T00:18:33,319,69,65.00,26.70,80.06,0,None
21-08-17T00:20:33,319,69,65.00,26.70,80.06,0,None
21-08-17T00:22:33,319,69,65.00,26.70,80.06,0,None
21-08-17T00:24:33,321,69,65.00,26.70,80.06,0,None
21-08-17T00:26:33,322,69,64.00,26.60,79.88,0,None
21-08-17T00:28:33,322,69,64.00,26.60,79.88,0,None
21-08-17T00:30:33,323,69,64.00,26.60,79.88,0,None
21-08-17T00:32:33,322,69,64.00,26.60,79.88,0,None
21-08-17T00:34:33,320,69,64.00,26.60,79.88,0,None
21-08-17T00:36:33,319,69,64.00,26.50,79.70,0,None
21-08-17T00:38:33,318,69,64.00,26.50,79.70,0,None
21-08-17T00:40:33,317,70,64.00,26.50,79.70,0,None
21-08-17T00:42:33,318,69,64.00,26.50,79.70,0,None
21-08-17T00:44:33,317,70,63.00,26.50,79.70,0,None
21-08-17T00:46:33,317,70,63.00,26.50,79.70,0,None
21-08-17T00:48:33,316,70,63.00,26.50,79.70,0,None
21-08-17T00:50:33,315,70,63.00,26.50,79.70,0,None
21-08-17T00:52:33,316,70,63.00,26.50,79.70,0,None
21-08-17T00:54:33,314,70,63.00,26.50,79.70,0,None
21-08-17T00:56:34,315,70,63.00,26.50,79.70,0,None
21-08-17T00:58:34,316,70,63.00,26.50,79.70,0,None
21-08-17T01:00:34,317,70,63.00,26.50,79.70,0,None
21-08-17T01:02:34,317,70,63.00,26.50,79.70,0,None
21-08-17T01:04:34,317,70,64.00,26.70,80.06,0,None
21-08-17T01:06:34,316,70,63.00,26.60,79.88,0,None
21-08-17T01:08:34,315,70,63.00,26.60,79.88,0,None
21-08-17T01:10:34,314,70,63.00,26.60,79.88,0,None
21-08-17T01:12:34,314,70,63.00,26.50,79.70,0,None
21-08-17T01:14:34,313,70,63.00,26.50,79.70,0,None
21-08-17T01:16:34,314,70,63.00,26.50,79.70,0,None
21-08-17T01:18:34,313,70,63.00,26.50,79.70,0,None
21-08-17T01:20:34,313,70,63.00,26.50,79.70,0,None
21-08-17T01:22:34,312,70,63.00,26.60,79.88,0,None
21-08-17T01:24:34,311,70,63.00,26.50,79.70,0,None
21-08-17T01:26:34,312,70,63.00,26.50,79.70,0,None
21-08-17T01:28:34,312,70,63.00,26.50,79.70,0,None
21-08-17T01:30:34,311,70,63.00,26.50,79.70,0,None
21-08-17T01:32:34,313,70,63.00,26.50,79.70,0,None
21-08-17T01:34:34,310,70,63.00,26.40,79.52,0,None
21-08-17T01:36:34,311,70,64.00,26.50,79.70,0,None
21-08-17T01:38:34,309,70,64.00,26.70,80.06,0,None
21-08-17T01:40:34,314,70,64.00,26.70,80.06,0,None
21-08-17T01:42:34,314,70,64.00,26.50,79.70,0,None
21-08-17T01:44:34,313,70,64.00,26.70,80.06,0,None
21-08-17T01:46:34,313,70,64.00,26.70,80.06,0,None
21-08-17T01:48:34,313,70,63.00,26.70,80.06,0,None
21-08-17T01:50:34,313,70,63.00,26.70,80.06,0,None
21-08-17T01:52:34,313,70,63.00,26.70,80.06,0,None
21-08-17T01:54:34,312,70,63.00,26.70,80.06,0,None
21-08-17T01:56:34,311,70,63.00,26.80,80.24,0,None
21-08-17T01:58:34,311,70,63.00,26.80,80.24,0,None
21-08-17T02:00:34,311,70,63.00,26.70,80.06,0,None
21-08-17T02:02:34,310,70,63.00,26.60,79.88,0,None
21-08-17T02:04:34,310,70,62.00,26.60,79.88,0,None
21-08-17T02:06:34,311,70,62.00,26.60,79.88,0,None
21-08-17T02:08:34,311,70,62.00,26.60,79.88,0,None
21-08-17T02:10:34,309,70,62.00,26.50,79.70,0,None
21-08-17T02:12:35,306,71,62.00,26.50,79.70,0,None
21-08-17T02:14:35,304,71,62.00,26.60,79.88,0,None
21-08-17T02:16:35,303,71,63.00,26.70,80.06,0,None
21-08-17T02:18:35,302,71,63.00,26.80,80.24,0,None
21-08-17T02:20:35,303,71,62.00,26.70,80.06,0,None
21-08-17T02:22:35,304,71,62.00,26.70,80.06,0,None
21-08-17T02:24:35,304,71,62.00,26.70,80.06,0,None
21-08-17T02:26:35,304,71,62.00,26.70,80.06,0,None
21-08-17T02:28:35,305,71,62.00,26.70,80.06,0,None
21-08-17T02:30:35,305,71,62.00,26.70,80.06,0,None
21-08-17T02:32:35,303,71,62.00,26.80,80.24,0,None
21-08-17T02:34:35,304,71,62.00,26.80,80.24,0,None
21-08-17T02:36:35,304,71,62.00,26.80,80.24,0,None
21-08-17T02:38:35,304,71,62.00,26.80,80.24,0,None
21-08-17T02:40:35,305,71,62.00,26.80,80.24,0,None
21-08-17T02:42:35,305,71,62.00,26.70,80.06,0,None
21-08-17T02:44:35,305,71,62.00,26.70,80.06,0,None
21-08-17T02:46:35,304,71,62.00,26.70,80.06,0,None
21-08-17T02:48:35,304,71,62.00,26.80,80.24,0,None
21-08-17T02:50:35,305,71,62.00,26.80,80.24,0,None
21-08-17T02:52:35,306,71,62.00,26.70,80.06,0,None
21-08-17T02:54:35,307,70,62.00,26.80,80.24,0,None
21-08-17T02:56:35,308,70,62.00,26.80,80.24,0,None
21-08-17T02:58:35,308,70,62.00,26.70,80.06,0,None
21-08-17T03:00:35,308,70,62.00,26.80,80.24,0,None
21-08-17T03:02:35,308,70,62.00,26.80,80.24,0,None
