"row","initialIndex","finalIndex","shapiro","ad","trend","snht","snhtK","pettitt","pettittK","buishandU","buishandUK","buishandRange","buishandRangeK","lanzante","lanzanteK","grubbs","grubbsK"
"1","1000","1202","0.000821132563753696","5.68974057294088e-06","8.78215148861273e-11","0","149","4.26452871260607e-12","122","0","122","0","122","5.60133683008788e-14","122","0.0805832788191427","lowest value -0.039200000000001 is an outlier"
"2","5350","5552","1.37340987519453e-24","3.7e-24","0.631028190288275","0.0116666666666667","201","1","170","0.998333333333333","201","1","201","0.21824070876818","170","0.0198559345704505","lowest value -51.985 is an outlier"
"3","10250","10452","2.27570260910153e-20","3.7e-24","1.29454386917961e-05","1","188","2.05533392526584e-05","60","1","188","1","188","1.39506509150646e-07","60","0.196527705783087","lowest value -60.614 is an outlier"
"4","12600","12802","5.0032893353704e-23","3.7e-24","2.96647297535777e-05","0.980333333333333","197","9.5911502931658e-06","129","1","129","1","129","2.55476792796894e-07","129","0.133311179920154","highest value 65.327 is an outlier"
"5","13900","14102","4.28399507912458e-17","3.7e-24","0.940729411598101","0.981333333333333","201","1","77","1","47","1","47","0.407268152476526","77","1","lowest value -54.075 is an outlier"
"6","16500","16702","0.000195057053156449","1.29428815342413e-05","0.198274947155716","0.00333333333333333","42","0.00408701569048119","109","0.000666666666666667","109","0","109","0.000384373022706589","109","1","lowest value -0.0200000000000031 is an outlier"
"7","18650","18852","1.78988666714853e-26","3.7e-24","0.0970974222015391","0.163","201","0.0738631443118478","72","1","185","1","185","0.00719833868234872","72","0.000435838921476028","highest value 65.195 is an outlier"
