"row","initialIndex","finalIndex","shapiro","ad","trend","snht","snhtK","pettitt","pettittK","buishandU","buishandUK","buishandRange","buishandRangeK","lanzante","lanzanteK","grubbs","grubbsK"
"1","4000","5210","2.70484739565595e-28","3.7e-24","2.92913081062061e-10","0","1052","1.65764338785274e-57","462","0","1048","0","1048","1.57146664664153e-62","462","1","lowest value 21.752 is an outlier"
"2","8000","9210","4.89061408351486e-41","3.7e-24","9.74215581072431e-37","0","928","1.53645764003384e-101","928","0","928","0","928","2.15107841058513e-155","928","1","highest value 31.129 is an outlier"
"3","9300","10510","4.87334613894842e-39","3.7e-24","9.78522885416907e-16","0","319","4.68680961726619e-77","272","0","319","0","319","1.34864171321298e-121","272","1","lowest value 18.803 is an outlier"
"4","10500","11710","2.47946322385941e-41","3.7e-24","1.2022304282893e-54","0","847","8.88581224603083e-140","847","0","847","0","847","4.55797512085846e-182","847","1","highest value 34.216 is an outlier"
"5","11800","13010","6.86088113233966e-35","3.7e-24","2.04302786329812e-09","0","238","4.81527499013059e-79","238","0","238","0","238","2.91588442717069e-137","238","1","lowest value 19.26 is an outlier"
"6","14000","15210","1.77282308101594e-23","3.7e-24","0","0","642","1.91884671926353e-197","601","0","628","0","628","2.4251428942698e-199","601","1","highest value 21.5 is an outlier"
"7","15600","16810","2.54741552921565e-44","3.7e-24","5.66361321442243e-199","0","585","2.42472567991975e-193","585","0","585","0","585","5.30775304431297e-212","585","1","highest value 32.879 is an outlier"
