"row","initialIndex","finalIndex","shapiro","ad","trend","snht","snhtK","pettitt","pettittK","buishandU","buishandUK","buishandRange","buishandRangeK","lanzante","lanzanteK","grubbs","grubbsK"
"1","4000","4202","1.56119502293148e-09","1.34236617085522e-15","0.00125046883062395","0","46","6.13329326031301e-10","50","0","57","0","57","1.57832695249634e-14","50","1","highest value 24.4 is an outlier"
"2","8300","8502","2.05200152341002e-20","3.7e-24","1.32701059214111e-06","0","110","7.28189653462861e-33","110","0","110","0","110","4.4342623392315e-38","110","1","highest value 31.129 is an outlier"
"3","9500","9702","1.67963223666485e-19","3.7e-24","9.16056611068991e-71","0","119","2.53525301324778e-33","101","0","119","0","119","2.46915663436611e-37","101","1","highest value 37.48 is an outlier"
"4","10800","11002","3.21453116433611e-25","3.7e-24","7.40103090785974e-16","0","29","2.56243704626941e-08","29","0","29","0","29","1.76699352136034e-45","29","1","lowest value 22.82 is an outlier"
"5","11900","12102","2.39306673563694e-21","3.7e-24","0.943011068535488","0","138","2.29577430236549e-25","138","0","138","0","138","1.64099348533383e-31","138","1","highest value 28.895 is an outlier"
"6","14000","14202","5.79054263141938e-07","1.85543551781712e-08","3.4228901191472e-85","0","103","2.53525301324778e-33","102","0","103","0","103","7.8645500736943e-35","102","1","lowest value 21.05 is an outlier"
"7","16000","16202","7.15879177421033e-27","3.7e-24","6.54156416683521e-13","0","185","0.000730893128389015","185","0","185","0","185","1.0836634819195e-45","185","0.113069531369461","lowest value 22.076 is an outlier"
