"row","initialIndex","finalIndex","shapiro","ad","trend","snht","snhtK","pettitt","pettittK","buishandU","buishandUK","buishandRange","buishandRangeK","lanzante","lanzanteK","grubbs","grubbsK"
"1","1000","1202","0.000347051738068508","5.43874891451697e-05","2.18729075608397e-36","0","128","5.85729309755177e-25","92","0","128","0","128","1.19767927095064e-26","92","1","highest value 0.058799999999998 is an outlier"
"2","5200","5402","0.000985811262223221","3.15157081759349e-05","0.721843199658316","0.533","2","0.807458181629166","72","0.624333333333333","72","0.221666666666667","72","0.157797242102513","72","0.016253419472795","lowest value -0.0390000000000015 is an outlier"
"3","10250","10452","3.91777770906337e-19","3.7e-24","0.614173024468631","0.239","201","1","79","1","62","1","62","0.255845171170904","79","0.909771768922587","lowest value -67.645 is an outlier"
"4","11400","11602","5.22191828015322e-23","3.7e-24","0.593751627341148","0.280333333333333","200","1","61","1","153","1","153","0.249324547190632","61","0.0452839675230674","highest value 50.9 is an outlier"
"5","13800","14002","7.04672140750465e-23","3.7e-24","0.567788539287787","0.00233333333333333","201","0.219238314529071","84","1","146","1","146","0.0285316591813151","84","0.00770007046991328","highest value 53.435 is an outlier"
"6","16600","16802","3.70184327046866e-22","3.7e-24","0.158892457531929","0.961","2","0.223712152417201","68","1","6","1","6","0.0264260162085449","68","0.0943753737864585","lowest value -55.725 is an outlier"
"7","17500","17702","1.63514087964087e-20","3.7e-24","0.361864958969558","0.997","196","0.5650252059953","88","1","68","1","68","0.106065132530384","88","0.413184526495635","highest value 48.779 is an outlier"
