"row","initialIndex","finalIndex","shapiro","ad","trend","snht","snhtK","pettitt","pettittK","buishandU","buishandUK","buishandRange","buishandRangeK","lanzante","lanzanteK","grubbs","grubbsK"
"1","2000","2202","9.86194729042572e-06","8.12953158149834e-06","4.93596679687291e-88","0","115","2.76904057950967e-33","104","0","106","0","106","8.10794652632146e-35","104","1","lowest value 19.9296 is an outlier"
"2","5300","5502","5.17439060192475e-07","1.39516232272254e-08","3.10214866074572e-92","0","90","2.61091735383538e-33","103","0","96","0","96","8.16881231263119e-35","103","1","highest value 21.321 is an outlier"
"3","6600","6802","4.13401876659084e-19","3.7e-24","6.65526970479121e-56","0","82","6.11143436395417e-31","82","0","82","0","82","1.37682031797093e-33","82","1","lowest value 18.048 is an outlier"
"4","9000","9202","3.12051029507543e-20","3.7e-24","1.02381899797101e-06","0","101","2.53525301324778e-33","101","0","101","0","101","8.09600348301264e-35","101","1","highest value 38.891 is an outlier"
"5","12700","12902","8.45482103272131e-24","3.7e-24","0.884957581870048","0","29","2.56243704626941e-08","29","0","29","0","29","7.13192610336136e-18","29","1","lowest value 25.819 is an outlier"
"6","13900","14102","1.25921029171515e-23","3.7e-24","4.21556678685356e-25","0","39","7.07862212673279e-15","57","0","39","0","39","1.1316214186634e-19","57","1","highest value 21.733 is an outlier"
"7","16300","16502","7.06107288112203e-22","3.7e-24","3.89324098070327e-13","0","57","6.82588946030305e-22","57","0","57","0","57","1.92646885328579e-28","57","1","lowest value 21.811 is an outlier"
